"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"1","Villars-le-Comte","Villars-le-Comte","Villars-le-Comte","VD",72.307692308,"Villars-le-Comte","Villars-le-Comte","Villars-le-Comte","VD","VD","VD",72.307692308,72.307692308,72.307692308
"2","Ennetbaden","Ennetbaden","Ennetbaden","AG",69.706840391,"Ennetbaden","Ennetbaden","Ennetbaden","AG","AG","AG",69.706840391,69.706840391,69.706840391
"3","Lausanne","Lausanne","Losanna","VD",67.718162195,"Lausanne","Lausanne","Losanna","VD","VD","VD",67.718162195,67.718162195,67.718162195
"4","Bâle","Basel","Basilea","BS",67.610344157,"Bâle","Basel","Basilea","BS","BS","BS",67.610344157,67.610344157,67.610344157
"5","Fribourg","Freiburg","Friburgo","FR",67.332560421,"Fribourg","Freiburg","Friburgo","FR","FR","FR",67.332560421,67.332560421,67.332560421
"6","Lucerne","Luzern","Lucerna","LU",66.584499152,"Lucerne","Luzern","Lucerna","LU","LU","LU",66.584499152,66.584499152,66.584499152
"7","Vevey","Vevey","Vevey","VD",65.745623286,"Vevey","Vevey","Vevey","VD","VD","VD",65.745623286,65.745623286,65.745623286
"8","Baden","Baden","Baden","AG",65.525322224,"Baden","Baden","Baden","AG","AG","AG",65.525322224,65.525322224,65.525322224
"9","Pully","Pully","Pully","VD",63.004194902,"Pully","Pully","Pully","VD","VD","VD",63.004194902,63.004194902,63.004194902
"10","Lully (VD)","Lully VD","Lully VD","VD",62.992125984,"Lully (VD)","Lully VD","Lully VD","VD","VD","VD",62.992125984,62.992125984,62.992125984
"11","Saint-Gall","St. Gallen","San Gallo","SG",62.606528381,"Saint-Gall","St. Gallen","San Gallo","SG","SG","SG",62.606528381,62.606528381,62.606528381
"12","Rivaz","Rivaz","Rivaz","VD",62.162162162,"Rivaz","Rivaz","Rivaz","VD","VD","VD",62.162162162,62.162162162,62.162162162
"13","Winterthour","Winterthur","Winterthur","ZH",62.116854302,"Winterthour","Winterthur","Winterthur","ZH","ZH","ZH",62.116854302,62.116854302,62.116854302
"14","Trogen","Trogen","Trogen","AR",61.95995785,"Trogen","Trogen","Trogen","AR","AR","AR",61.95995785,61.95995785,61.95995785
"15","Coppet","Coppet","Coppet","VD",61.595744681,"Coppet","Coppet","Coppet","VD","VD","VD",61.595744681,61.595744681,61.595744681
