"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de non","Nein in %","Percentuale di no"
"1","Bourg-Saint-Pierre","Bourg-Saint-Pierre","Bourg-Saint-Pierre","VS",4.201680672,"Bourg-Saint-Pierre","Bourg-Saint-Pierre","Bourg-Saint-Pierre","VS","VS","VS",95.798319328,95.798319328,95.798319328
"2","Riemenstalden","Riemenstalden","Riemenstalden","SZ",4.444444444,"Riemenstalden","Riemenstalden","Riemenstalden","SZ","SZ","SZ",95.555555556,95.555555556,95.555555556
"3","Villars-le-Comte","Villars-le-Comte","Villars-le-Comte","VD",7.042253521,"Villars-le-Comte","Villars-le-Comte","Villars-le-Comte","VD","VD","VD",92.957746479,92.957746479,92.957746479
"4","Innerthal","Innerthal","Innerthal","SZ",8.474576271,"Innerthal","Innerthal","Innerthal","SZ","SZ","SZ",91.525423729,91.525423729,91.525423729
"5","Törbel","Törbel","Törbel","VS",8.766233766,"Törbel","Törbel","Törbel","VS","VS","VS",91.233766234,91.233766234,91.233766234
"6","Chavannes-le-Veyron","Chavannes-le-Veyron","Chavannes-le-Veyron","VD",9.411764706,"Chavannes-le-Veyron","Chavannes-le-Veyron","Chavannes-le-Veyron","VD","VD","VD",90.588235294,90.588235294,90.588235294
"7","Hasle (LU)","Hasle LU","Hasle LU","LU",11.030082042,"Hasle (LU)","Hasle LU","Hasle LU","LU","LU","LU",88.969917958,88.969917958,88.969917958
"8","Poliez-Pittet","Poliez-Pittet","Poliez-Pittet","VD",11.168831169,"Poliez-Pittet","Poliez-Pittet","Poliez-Pittet","VD","VD","VD",88.831168831,88.831168831,88.831168831
"9","Saas-Grund","Saas-Grund","Saas-Grund","VS",11.409395973,"Saas-Grund","Saas-Grund","Saas-Grund","VS","VS","VS",88.590604027,88.590604027,88.590604027
"10","Sévery","Sévery","Sévery","VD",11.627906977,"Sévery","Sévery","Sévery","VD","VD","VD",88.372093023,88.372093023,88.372093023
"11","Embd","Embd","Embd","VS",11.724137931,"Embd","Embd","Embd","VS","VS","VS",88.275862069,88.275862069,88.275862069
"12","Treytorrens (Payerne)","Treytorrens (Payerne)","Treytorrens (Payerne)","VD",11.764705882,"Treytorrens (Payerne)","Treytorrens (Payerne)","Treytorrens (Payerne)","VD","VD","VD",88.235294118,88.235294118,88.235294118
"13","Hermenches","Hermenches","Hermenches","VD",12.021857923,"Hermenches","Hermenches","Hermenches","VD","VD","VD",87.978142077,87.978142077,87.978142077
"14","Ufhusen","Ufhusen","Ufhusen","LU",12.081784387,"Ufhusen","Ufhusen","Ufhusen","LU","LU","LU",87.918215613,87.918215613,87.918215613
"15","Bioley-Orjulaz","Bioley-Orjulaz","Bioley-Orjulaz","VD",12.096774194,"Bioley-Orjulaz","Bioley-Orjulaz","Bioley-Orjulaz","VD","VD","VD",87.903225806,87.903225806,87.903225806
"16","Bussy-sur-Moudon","Bussy-sur-Moudon","Bussy-sur-Moudon","VD",12.096774194,"Bussy-sur-Moudon","Bussy-sur-Moudon","Bussy-sur-Moudon","VD","VD","VD",87.903225806,87.903225806,87.903225806
"17","Saint-Martin (VS)","Saint-Martin VS","Saint-Martin VS","VS",12.173913043,"Saint-Martin (VS)","Saint-Martin VS","Saint-Martin VS","VS","VS","VS",87.826086957,87.826086957,87.826086957
"18","Hérémence","Hérémence","Hérémence","VS",12.209302326,"Hérémence","Hérémence","Hérémence","VS","VS","VS",87.790697674,87.790697674,87.790697674
"19","Bovernier","Bovernier","Bovernier","VS",12.371134021,"Bovernier","Bovernier","Bovernier","VS","VS","VS",87.628865979,87.628865979,87.628865979
"20","Kammersrohr","Kammersrohr","Kammersrohr","SO",13.043478261,"Kammersrohr","Kammersrohr","Kammersrohr","SO","SO","SO",86.956521739,86.956521739,86.956521739
"21","Chavannes-le-Chêne","Chavannes-le-Chêne","Chavannes-le-Chêne","VD",13.333333333,"Chavannes-le-Chêne","Chavannes-le-Chêne","Chavannes-le-Chêne","VD","VD","VD",86.666666667,86.666666667,86.666666667
"22","Illgau","Illgau","Illgau","SZ",13.347022587,"Illgau","Illgau","Illgau","SZ","SZ","SZ",86.652977413,86.652977413,86.652977413
