"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",59.5,40.5,100,162,82,"82/162"
2,"Bern","Berne","Berna",0,0,50,334,0,"0/334"
3,"Luzern","Lucerne","Lucerna",58.7,41.3,100,80,60,"60/80"
4,"Uri","Uri","Uri",0,0,50,19,0,"0/19"
5,"Schwyz","Schwyz","Svitto",43.4,56.6,0,30,13,"13/30"
6,"Obwalden","Obwald","Obvaldo",0,0,50,7,0,"0/7"
7,"Nidwalden","Nidwald","Nidvaldo",53.6,46.4,100,11,8,"8/11"
8,"Glarus","Glaris","Glarona",0,0,50,3,0,"0/3"
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11"
10,"Freiburg","Fribourg","Friburgo",61.9,38.1,100,128,75,"75/128"
11,"Solothurn","Soleure","Soletta",59.8,40.2,100,107,97,"97/107"
12,"Basel-Stadt","Bâle-Ville","Basilea Città",0,0,50,3,0,"0/3"
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",55.1,44.9,100,86,74,"74/86"
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26"
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",49.6,50.4,0,20,15,"15/20"
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,6,0,"0/6"
17,"St. Gallen","Saint-Gall","San Gallo",56.7,43.3,100,77,32,"32/77"
18,"Graubünden","Grisons","Grigioni",58.9,41.1,100,101,97,"97/101"
19,"Aargau","Argovie","Argovia",56.6,43.4,100,210,89,"89/210"
20,"Thurgau","Thurgovie","Turgovia",54.3,45.7,100,80,64,"64/80"
21,"Tessin","Tessin","Ticino",57.4,42.6,100,107,70,"70/107"
22,"Waadt","Vaud","Vaud",58.6,41.4,100,308,292,"292/308"
23,"Wallis","Valais","Vallese",64,36,100,122,94,"94/122"
24,"Neuenburg","Neuchâtel","Neuchâtel",0,0,50,27,0,"0/27"
25,"Genf","Genève","Ginevra",0,0,50,45,0,"0/45"
26,"Jura","Jura","Giura",61.3,38.7,100,53,14,"14/53"
